13479	2
11	2
394	2
10170	4
81	2
317	2
7869	4
9597	4
176	2
100	1
3406	2
16207	4
177	3
15420	4
255	1
440	2
515	2
572	1
618	3
661	1
710	1
883	1
979	1
1060	1
1111	1
1367	1
1606	3
2230	2
2231	4
2598	1
4125	1
4248	3
10698	2
13033	1
17186	1
17188	1
17590	2
10148	1
826	3
785	4
644	2
3430	4
13384	3
16269	4
17369	1
17471	1
2792	2
690	1
704	1
633	2
583	3
10054	4
12658	1
176	1
333	2
259	4
10258	1
5	1
2589	5
6897	2
3625	1
12589	1
4785	3
12	2
10258	1
11111	1
256	3
879	4
789	2
456	1
321	1
652	1
1477	1
2589	1
6325	1
8741	2
7895	2
12356	1
852	1
763	1
200	1
